user_id,course_id,rating,watch_time,clicked
41456,c_010,3.9,8.07,1
66534,c_015,4.5,80.45,0
11773,c_013,2.7,12.0,1
55094,,4.1,55.96,0
22830,c_020,4.4,70.47,0
33585,c_008,4.7,92.26,0
44015,c_020,2.7,69.27,1
84688,c_004,4.6,17.62,1
60702,,1.7,65.79,0
87942,c_018,4.6,67.63,0
68643,c_019,1.4,49.7,1
64390,c_009,4.4,23.39,0
86995,c_014,2.1,84.63,0
56436,,2.5,41.35,0
76944,c_004,4.4,3.5,1
85053,c_010,4.2,27.19,1
9228,c_004,4.0,19.96,1
30003,c_004,4.5,75.29,0
915,,2.2,44.65,0
91218,c_020,3.8,13.09,0
27745,c_021,4.1,8.66,0
70467,c_004,1.0,44.52,0
47149,c_019,4.8,64.28,0
51417,c_012,3.7,70.28,0
74765,c_021,2.9,52.8,0
20488,c_018,2.5,42.78,0
33895,,1.8,83.94,0
15728,c_013,4.5,2.94,0
3921,c_014,4.8,33.44,0
20600,,1.2,92.93,0
445,c_018,2.8,53.66,0
54343,c_012,2.7,94.9,1
64747,c_021,3.5,63.4,0
34680,,1.0,26.78,1
47332,c_018,4.5,97.76,0
53246,c_001,3.3,79.89,1
14760,c_011,1.8,54.06,0
28845,c_021,3.5,57.71,0
75120,c_012,1.4,33.99,1
26457,c_015,1.9,60.77,0
53861,,3.5,23.41,1
71609,c_007,4.9,64.72,0
50526,c_010,2.1,62.17,1
69097,,2.3,52.08,1
29139,c_019,3.8,21.23,0
85580,c_005,1.6,43.76,1
59676,c_020,1.1,39.12,1
35334,c_018,1.9,89.43,1
2006,c_004,3.9,19.65,1
63190,c_013,2.9,98.69,0
37587,c_021,1.7,42.66,0
66359,c_010,3.8,93.19,0
10188,c_010,2.5,69.62,1
4015,c_020,2.4,78.08,1
28282,,4.9,45.62,0
9206,c_008,2.5,48.89,0
73931,c_015,1.5,86.31,1
86076,c_020,3.6,78.74,0
14808,c_003,4.3,27.0,1
75574,c_015,2.2,13.58,0
72629,,4.7,23.08,1
7523,,3.9,28.52,0
23949,c_015,1.9,43.46,1
82013,c_013,1.5,57.8,0
87222,c_001,3.6,29.14,0
22404,,2.4,24.78,1
55979,c_012,4.5,98.94,1
66118,c_009,5.0,23.03,0
31129,c_008,4.4,21.32,1
34614,c_014,4.0,86.17,1
13509,c_010,4.1,20.68,1
84080,c_016,1.6,25.61,1
66524,c_018,1.1,21.9,0
26991,c_009,3.6,92.68,1
32780,c_005,1.5,89.41,0
71892,c_008,4.6,46.14,1
15053,c_018,4.6,30.01,0
81326,,2.8,8.2,1
81482,c_006,1.1,31.87,0
63377,c_009,1.3,52.2,1
85089,c_014,4.0,84.54,1
91519,c_007,2.6,13.47,1
68307,c_006,4.4,58.5,0
15583,c_016,1.4,75.36,0
68714,c_004,2.0,20.01,1
42925,c_022,1.5,65.54,0
68256,c_002,4.8,75.68,1
46541,c_009,3.8,27.86,1
77037,c_004,1.7,7.89,1
92096,c_015,2.3,11.04,0
65801,,3.7,84.26,1
94402,c_018,4.0,52.45,1
38744,c_021,3.2,87.7,1
81414,c_011,3.8,12.17,0
21760,c_002,2.6,6.52,1
4615,c_011,2.5,34.84,1
68669,c_022,2.2,45.57,0
75055,c_014,2.8,57.53,1
67275,,2.9,97.32,0
55830,c_018,1.7,24.13,1
26724,,1.8,42.04,0
55495,c_001,4.9,78.03,0
72597,c_020,4.4,12.0,0
81649,c_010,2.6,74.75,0
57366,c_015,4.8,77.09,1
3576,c_021,1.6,78.28,0
41964,c_002,2.6,57.81,1
86290,c_015,2.1,74.23,1
71022,c_020,2.1,76.23,1
92599,c_013,4.2,84.76,0
39543,c_016,2.7,96.82,1
59910,c_003,1.7,25.09,0
18607,c_010,2.0,62.17,1
46793,c_010,1.5,13.85,0
74088,c_019,3.2,5.27,1
7740,c_016,4.4,72.9,0
26162,c_017,4.9,95.87,0
68753,c_013,1.1,87.17,0
86275,c_018,4.2,99.78,1
55641,c_020,3.4,74.13,0
22593,c_011,1.2,57.81,0
17184,c_008,3.6,49.27,0
79768,c_010,1.2,48.39,1
60845,c_002,3.7,2.66,0
39392,c_019,2.9,21.19,0
28135,c_017,2.0,89.16,0
98665,,4.8,84.47,1
47920,c_006,4.3,74.84,0
47775,c_020,1.5,83.64,1
15651,c_009,2.6,81.97,1
37083,c_005,3.3,60.81,1
13470,c_006,2.8,74.86,0
27573,c_015,2.8,58.32,0
62970,c_014,2.5,75.67,0
97941,c_003,2.1,99.87,0
31815,c_001,2.6,19.81,0
66063,c_001,4.6,65.09,0
16851,,4.9,77.21,1
76382,c_007,4.3,92.14,0
31303,c_015,2.3,91.22,0
38239,c_016,3.1,21.29,1
34527,c_020,3.8,99.79,1
71783,c_004,1.4,9.86,1
10434,,4.2,70.57,1
62533,c_005,2.8,39.41,1
18365,c_015,2.1,87.77,1
36669,c_004,1.0,30.46,0
98904,,3.7,11.47,0
76837,c_009,2.3,64.92,0
85675,,1.7,79.07,0
7278,c_016,2.6,25.77,1
38843,c_003,3.7,84.69,1
52260,c_012,1.7,80.02,0
4970,c_010,3.2,26.78,0
4089,c_021,1.6,19.35,0
13198,c_009,4.4,3.73,0
71708,c_015,3.3,92.17,0
43113,c_018,3.7,23.91,1
72180,c_014,2.7,53.62,1
6017,,3.6,6.51,1
68703,c_018,2.1,64.78,0
41572,c_004,4.1,45.11,0
86490,c_009,3.9,16.85,1
761,c_017,4.8,11.18,0
70473,c_020,4.7,89.69,0
8086,c_011,4.6,76.79,0
92272,c_012,1.2,56.24,0
24632,c_015,4.8,54.2,1
27964,c_006,4.2,62.33,1
57203,,2.1,60.42,1
65240,c_006,3.4,86.36,1
81757,c_005,1.8,33.92,1
42558,c_020,3.1,49.43,0
61757,c_021,1.4,14.15,1
16691,,1.3,47.27,0
61138,c_022,5.0,94.9,1
32214,c_008,2.0,88.61,1
60598,c_018,2.3,36.98,0
72556,c_004,4.8,88.83,1
26425,,2.6,70.53,0
60507,c_020,3.9,42.3,0
77661,,3.6,18.97,0
86094,,4.1,3.35,0
84987,c_002,3.3,95.36,1
2404,,3.3,20.2,0
90537,c_022,2.3,2.74,1
96259,,5.0,44.68,1
83613,c_009,3.1,86.33,0
13466,c_016,3.8,4.51,0
45486,c_005,1.4,72.68,0
93581,c_009,4.8,63.36,0
60150,,3.8,34.14,0
99288,c_022,3.5,38.92,1
48665,c_019,3.8,65.94,0
76354,,1.8,37.68,0
79450,c_007,3.1,14.58,1
80537,c_017,2.2,82.05,1
88370,c_014,3.7,70.94,1
41573,c_018,1.3,56.65,0
13503,c_014,1.4,17.92,1
45002,c_016,4.3,16.99,1
52136,c_014,1.4,62.27,0
46944,c_007,3.5,56.88,0
75428,c_013,1.6,2.25,1
28224,c_016,4.5,94.45,1
51847,c_006,2.5,53.13,0
82671,c_021,4.2,99.51,0
81494,c_005,4.1,2.34,1
1931,c_009,5.0,37.45,0
34646,c_004,3.1,53.81,0
55929,c_018,1.7,37.96,1
38596,,3.1,42.42,1
82901,c_002,3.4,55.79,0
1311,c_003,3.9,43.07,1
4292,c_014,1.2,17.76,1
30888,c_019,1.5,26.96,0
25118,c_007,2.3,74.86,0
22294,,1.9,35.25,0
89780,c_018,1.5,21.45,1
75321,c_017,2.7,47.79,1
50721,c_013,2.7,10.45,1
85160,,4.1,36.55,1
69331,c_014,4.4,27.97,1
58994,c_007,3.4,39.34,0
87915,c_014,2.4,78.12,1
46133,c_009,2.8,61.84,1
92031,c_018,4.0,92.8,1
71632,c_010,2.2,62.61,0
73869,c_010,3.4,61.87,1
26497,c_011,2.4,42.26,0
97377,c_020,3.6,99.21,0
22387,c_022,4.3,97.32,1
69628,c_019,4.6,93.26,1
96939,c_001,1.9,32.27,0
29788,c_005,3.9,54.56,1
32043,c_005,1.0,50.89,1
59242,c_018,1.1,92.86,0
84289,c_010,3.2,63.88,1
22577,c_015,2.5,1.03,0
16395,,3.8,14.21,0
33294,c_015,3.4,9.27,0
77257,c_001,4.6,54.8,1
91032,c_001,3.5,14.18,1
43105,,3.3,20.42,0
92367,c_011,4.5,7.7,0
5958,c_008,3.0,25.37,1
73538,c_001,4.9,89.58,1
28734,,1.1,15.69,1
82927,c_019,3.3,70.26,1
64856,c_015,2.0,32.54,1
8349,c_012,1.4,93.77,1
6451,c_013,4.0,52.92,1
61973,c_006,4.2,21.33,1
50311,c_017,3.0,73.0,0
82027,c_018,2.8,98.43,0
429,c_021,1.8,74.46,0
29598,,4.9,42.79,1
90273,c_017,2.1,55.78,0
12711,c_018,1.5,27.88,1
77102,c_001,4.2,76.91,1
90207,c_002,2.0,85.13,1
26167,c_011,2.6,79.64,0
30910,,1.5,54.92,0
98873,c_021,2.6,96.33,1
61365,c_010,1.1,17.47,1
64703,c_009,2.7,76.33,0
6549,,3.6,64.14,1
91621,c_017,4.3,56.85,1
51069,c_018,2.9,2.12,0
4351,,3.5,83.26,0
34677,,4.4,38.98,1
87168,c_011,1.3,71.32,0
84946,c_013,4.1,52.78,0
44309,,5.0,45.02,0
88553,c_003,1.1,21.41,1
1800,c_011,4.7,59.98,0
61817,c_013,4.0,15.26,1
43303,c_018,1.1,60.9,0
80858,,4.4,68.46,1
70730,c_017,3.3,73.97,0
48880,c_014,2.9,97.38,1
73526,c_020,3.3,36.4,1
26931,c_002,4.7,25.06,0
74784,c_004,1.8,27.55,0
90263,c_012,3.2,16.46,1
90131,c_017,2.2,7.6,0
13746,c_013,3.2,95.61,0
74382,,4.3,99.91,1
55159,c_005,2.9,39.18,1
2760,,2.2,8.58,0
82703,c_011,3.7,95.37,1
66455,c_011,2.7,5.47,0
50710,c_002,4.4,96.84,1
44840,c_020,2.9,15.25,1
53430,c_002,3.4,23.05,0
53685,,1.2,98.12,0
34421,c_011,1.4,14.46,0
96002,c_022,3.4,91.71,0
64378,c_020,3.3,80.23,1
13392,c_018,2.6,59.34,1
27838,c_021,3.4,5.93,1
97832,c_009,2.3,82.31,1
12364,c_003,4.6,68.84,1
60377,c_006,4.0,72.86,1
30081,,4.0,68.17,0
18362,c_004,2.7,29.06,1
66761,c_022,4.0,6.74,0
54752,c_007,3.5,34.32,0
66793,c_019,5.0,41.06,0
6986,c_003,4.1,80.29,0
98428,c_003,3.6,67.86,1
8615,c_003,4.2,46.68,0
91604,c_020,2.3,59.95,0
49198,c_009,3.0,88.18,1
35711,,3.0,82.38,1
44762,c_016,4.0,86.69,1
85542,c_014,3.5,61.89,0
41796,,4.5,38.3,1
13519,c_001,2.8,32.45,1
35842,,3.7,91.88,0
66854,c_001,2.0,84.02,0
4793,,3.7,53.41,1
13624,c_006,1.6,34.51,0
76010,c_008,2.8,30.41,1
2357,,1.2,60.38,0
53872,,4.5,15.05,0
7341,c_013,1.3,47.14,0
94621,c_018,4.0,31.84,1
31659,c_003,2.3,78.2,0
71337,,4.0,0.25,1
66887,c_016,3.4,49.3,1
49376,c_014,3.0,15.84,0
81594,c_020,1.4,12.66,0
59822,c_020,2.8,66.12,0
37221,c_002,3.5,27.23,1
72128,c_007,4.4,76.04,0
3171,,3.6,47.45,0
98653,c_017,3.6,40.93,1
52042,c_021,3.6,5.56,0
24631,c_010,1.5,47.38,0
82721,c_014,2.7,74.68,0
49275,c_021,4.4,56.31,1
72166,c_007,4.5,37.49,1
66595,,2.5,31.25,0
40471,c_001,4.7,64.95,1
95407,c_021,3.8,17.62,0
46848,,2.2,81.36,1
55861,c_018,3.6,90.05,1
27628,c_006,3.5,10.65,1
67636,c_001,4.2,55.57,1
4956,c_013,3.3,15.53,1
97227,c_012,3.5,26.06,1
69798,c_007,2.8,39.12,1
4256,c_007,4.2,6.89,1
2986,c_003,4.1,71.94,1
94888,c_011,4.0,52.21,0
61867,c_010,4.8,93.82,1
23732,c_022,1.9,29.93,1
89862,c_016,4.2,34.0,1
27112,c_001,2.7,76.92,1
18517,c_019,3.7,97.02,1
1060,c_001,2.4,35.75,0
50240,c_016,1.5,38.16,0
72279,c_003,4.5,46.19,0
94466,c_005,3.8,24.41,1
39095,c_001,3.7,27.34,0
38188,c_016,3.1,60.41,0
47192,c_012,2.7,25.45,1
69193,c_004,1.9,99.91,1
93790,c_001,3.5,13.4,1
84870,c_004,2.7,91.1,1
88633,c_018,2.0,9.61,0
72643,c_004,4.2,40.63,0
8506,,3.8,83.72,1
64254,,4.1,41.33,0
49471,c_002,3.8,86.59,0
58608,c_019,2.2,68.7,0
78058,,2.2,84.46,0
2491,c_012,3.1,42.65,0
32623,c_021,4.9,17.23,1
33167,c_021,2.8,97.02,1
61082,c_005,4.3,41.45,1
66429,,4.3,17.2,0
41544,c_013,3.6,30.05,0
49879,c_007,4.8,77.05,0
64952,c_013,3.0,69.78,0
82182,,1.8,2.27,1
56963,c_020,3.3,85.75,1
18652,,3.6,15.85,0
84754,c_011,2.1,25.68,0
38045,c_020,4.9,74.47,1
26417,c_021,1.2,0.62,0
64803,c_007,4.2,53.39,1
1996,,2.4,22.18,1
73881,c_008,2.2,21.62,1
63424,c_018,3.7,50.34,1
31897,c_014,2.1,33.3,1
22798,,4.3,67.41,1
42165,c_020,1.1,47.9,0
54649,c_009,4.0,30.02,0
40274,c_019,2.4,24.73,0
88677,c_017,1.1,79.6,1
8345,c_012,3.3,38.69,0
8703,c_020,2.0,28.04,1
91657,c_017,2.0,45.8,0
91551,,4.0,51.71,0
38489,c_011,2.8,25.88,0
79085,,4.6,54.79,1
66879,c_001,4.7,40.41,0
19002,c_022,2.1,6.5,1
69236,,1.2,52.32,1
34804,c_009,4.5,48.04,1
74046,c_004,3.1,36.06,1
23202,c_021,4.5,92.04,1
90128,,2.6,34.34,0
48271,c_022,4.1,7.87,0
47917,,4.5,24.49,1
93205,,2.8,7.25,1
48700,,2.1,79.83,1
71605,c_010,3.5,4.7,1
75633,c_018,2.3,17.64,1
44213,c_013,4.7,15.02,0
15371,,4.2,85.22,0
19006,c_020,3.2,31.62,0
50040,,1.5,75.92,1
90261,,2.4,66.68,0
29559,c_015,4.3,0.38,0
71515,c_008,3.0,17.39,0
42735,c_005,4.8,21.82,1
41943,c_007,2.9,66.28,1
5927,c_008,3.1,88.28,1
44545,c_001,5.0,77.1,0
27715,c_017,2.7,33.44,1
70714,c_016,1.1,36.91,1
3679,c_016,3.1,92.31,0
7350,c_004,2.2,88.84,0
966,c_007,3.4,25.8,0
5708,c_007,4.2,39.38,0
17424,c_014,2.2,93.82,0
53063,c_002,2.5,38.2,1
61662,c_019,2.5,58.9,0
51257,c_021,2.6,98.07,1
5661,,4.1,37.43,0
55592,c_013,2.0,30.65,1
91685,c_016,3.4,24.54,0
36605,c_006,4.0,65.71,1
1074,c_022,3.7,59.78,1
19744,c_016,2.1,58.21,1
93317,c_008,3.1,10.58,0
18362,c_019,3.2,18.87,0
63768,,1.9,27.51,1
74676,c_013,3.5,65.72,0
99906,c_005,2.9,97.85,0
26662,,2.3,7.73,1
80827,c_014,1.7,66.63,1
66791,c_012,4.3,39.74,0
75465,c_021,3.2,97.52,0
84700,c_008,3.6,37.39,0
89063,c_004,3.8,11.62,1
82269,c_015,4.0,98.32,1
75685,c_020,2.6,89.59,0
28381,c_009,4.2,57.5,1
17335,c_013,5.0,19.09,1
8097,c_009,2.3,1.78,1
42156,,2.2,17.35,1
84976,,1.9,89.34,0
46763,c_007,2.3,23.64,0
67101,,4.9,34.68,0
11315,c_006,1.1,24.09,1
20259,c_003,2.6,26.67,0
88351,c_020,3.0,7.36,1
91463,c_016,1.6,79.42,0
26487,c_005,3.2,53.77,1
94341,c_012,3.3,99.84,0
85949,,5.0,69.11,0
85877,c_016,3.8,66.21,1
66143,c_022,1.4,51.14,0
58841,c_015,2.1,41.46,0
73888,c_003,1.5,70.61,0
34399,c_020,4.0,3.39,1
7415,,4.3,40.06,0
18255,c_010,2.8,82.98,1
17299,c_005,3.9,64.6,1
57607,c_014,3.3,98.0,0
63732,c_019,2.9,91.24,1
87106,c_002,2.6,14.86,0
14260,c_012,3.8,29.08,1
69228,,3.1,31.09,1
89510,c_012,1.6,58.65,0
68061,c_011,4.1,26.14,0
25952,c_009,5.0,21.14,1
38354,c_015,3.4,28.37,1
60445,c_015,4.5,47.31,0
56613,,2.7,29.53,0
31988,c_015,3.1,50.14,0
39214,,2.7,5.8,0
4689,c_018,4.5,11.23,1
38010,c_019,3.4,67.17,1
17787,c_015,2.7,61.55,1
3132,c_018,4.8,6.09,1
225,c_011,2.7,71.97,1
93531,c_014,5.0,20.76,1
52321,c_016,4.7,49.94,1
21713,c_007,1.6,38.51,0
